pk,model,person,name
1,persons.personaltname,771,אבי דיכטר
2,persons.personaltname,713,אורי אריאל
3,persons.personaltname,832,אורלי לוי- אבקסיס
4,persons.personaltname,832,אורלי לוי אבקסיס
5,persons.personaltname,63,אלי ישי
6,persons.personaltname,90,ביבי נתניהו
7,persons.personaltname,20,בנימין בן אליעזר
8,persons.personaltname,20,בנימין (פואד) בן אליעזר
9,persons.personaltname,20,פואד בן אליעזר
10,persons.personaltname,756,ג'מאל זחאלקה
11,persons.personaltname,833,דני אילון
12,persons.personaltname,836,דניאל בן סימון
13,persons.personaltname,848,יוליה שמאלוב ברקוביץ
14,persons.personaltname,848,יוליה שמאלוב-ברקוביץ
15,persons.personaltname,14,בני בגין
16,persons.personaltname,740,בוז'י הרצוג
17,persons.personaltname,740,יצחק (בוז'י) הרצוג
18,persons.personaltname,840,יעקב כץ
19,persons.personaltname,1,יולי אדלשטיין
20,persons.personaltname,841,מיכאל בן ארי
21,persons.personaltname,786,סטס מיסז'ניקוב
22,persons.personaltname,838,משה מטלון
23,persons.personaltname,835,פאינה קירשנבאום
24,persons.personaltname,835,פאינה פניה קירשנבאום
25,persons.personaltname,758,ראלב מג'אדלה
26,persons.personaltname,724,רוחמה אברהם
27,persons.personaltname,735,רוני בראון
28,persons.personaltname,810,שלמה מולה
